FGDC element,FGDC path,FGDC short name,What it means (FGDC),Zenodo JSON target,Mapping rationale / notes,Transform / normalization,Fallback if not supported
Progress,idinfo.status.progress,progress,"Progress status (e.g., Complete).",metadata.notes,Append under 'Status'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Maintenance and Update Frequency,idinfo.status.update,update,Update frequency.,metadata.notes,Append under 'Maintenance frequency'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Bounding Coordinates,idinfo.spdom.bounding (westbc/eastbc/northbc/southbc),bounding,W/E/N/S bounding box.,metadata.notes,"No native bbox in legacy schema; include as 'Spatial coverage: W<E>, E<E>, N<N>, S<S>'.",,Put in metadata.notes; also attach original FGDC XML as a file.
Dataset G-Polygon,idinfo.spdom.dsgpoly (g-ring),dsgpoly,Polygonal footprint.,metadata.notes,"Serialize as WKT/GeoJSON snippet in notes or upload as a separate file (e.g., footprint.geojson).",,Put in metadata.notes; also attach original FGDC XML as a file.
Theme/Place/Stratum/Temporal Keywords,idinfo.keywords,theme/place/stratum/temporal,Controlled/free keywords across vocabularies.,metadata.keywords[] and metadata.subjects[],"Flatten to keywords[]; if a thesaurus is provided, add to subjects[] with scheme and term.",Strip duplicates; limit to reasonable count.,Put in metadata.notes; also attach original FGDC XML as a file.
Access Constraints,idinfo.accconst,accconst,Restrictions on accessing the dataset.,metadata.access_right / metadata.access_conditions,"If text contains 'None'/'Open', set access_right='open'. If contains 'Restricted', set 'restricted' and copy text to access_conditions. Otherwise default to 'open' and place text in notes as context.",,Put in metadata.notes; also attach original FGDC XML as a file.
Use Constraints,idinfo.useconst,useconst,Restrictions on use (often license-like).,metadata.license (if a known license ID can be parsed) else metadata.notes,Attempt to detect SPDX/Creative Commons strings and map to license ID; otherwise keep as notes.,,Put in metadata.notes; also attach original FGDC XML as a file.
Security Information,idinfo.secinfo.[secsys|secclass|sechandl],secinfo,Classification and handling info.,metadata.access_right / metadata.access_conditions,If secclass is 'Unclassified' or empty -> no change. If 'Restricted'/'Confidential' etc -> access_right='restricted' or 'closed' with details in access_conditions.,,Put in metadata.notes; also attach original FGDC XML as a file.
Point of Contact,idinfo.ptcontac.cntinfo,ptcontac,Contact for the dataset.,metadata.contributors[] (type='ContactPerson'),"Map name, affiliation, email, phone into a contributor.",,Put in metadata.notes; also attach original FGDC XML as a file.
Browse Graphic,idinfo.browse.[browsen|browsed|browset],browse,Illustrative graphic file name/description/type.,Upload as additional file(s); also metadata.related_identifiers[] (relation='isDocumentedBy'),"If only a URI is present, store as related_identifier with relation 'isDocumentedBy'. Else upload file to deposition and summarize in notes.",,Put in metadata.notes; also attach original FGDC XML as a file.
Native Data Set Environment,idinfo.native,native,"Producer's processing environment (OS, software, path, size).",metadata.notes,Append under 'Native data set environment'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Cross Reference,idinfo.crossref,crossref,Related datasets that may be of interest.,metadata.related_identifiers[] (relation='isRelatedTo'/'cites') OR metadata.references[],"If DOI/URL detected, use related_identifiers (prefer 'cites' or 'isRelatedTo'); else as a textual reference.",,Put in metadata.notes; also attach original FGDC XML as a file.
Attribute Accuracy Report,dataqual.attracc.attraccr,attraccr,Narrative on attribute accuracy.,metadata.notes,Append under 'Data quality - Attribute accuracy'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Logical Consistency Report,dataqual.logic,logic,Narrative on logical consistency.,metadata.notes,Append under 'Data quality - Logical consistency'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Completeness Report,dataqual.complete,complete,Narrative on dataset completeness.,metadata.notes,Append under 'Data quality - Completeness'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Horizontal/Vertical Positional Accuracy,dataqual.posacc.[horizpa|vertacc],horizpa/vertacc,Narratives/quantitative assessments of positional accuracy.,metadata.notes,Append under 'Data quality - Positional accuracy'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Lineage: Sources & Process Steps,dataqual.lineage.[srcinfo|procstep],lineage,Source citations and processing history.,metadata.references[] (for source citations) + metadata.notes (for steps),Convert each process step into bullet points; move source citations into references[]; keep order.,,Put in metadata.notes; also attach original FGDC XML as a file.
Cloud Cover,dataqual.cloudcov,cloudcov,Percent cloud cover for imagery.,metadata.keywords[] or metadata.notes,"If numeric 0..100, include in notes; optionally add keyword like 'cloudcover:XX'.",,Put in metadata.notes; also attach original FGDC XML as a file.
Indirect/Direct Spatial Reference,spdoinfo.[indspref|direct],indspref/direct,Whether spatial referencing is indirect or direct.,metadata.notes,Add a one-liner summary.,,Put in metadata.notes; also attach original FGDC XML as a file.
Raster/Point/Vector Object Info,spdoinfo.[rastinfo|ptvctinf],rastinfo/ptvctinf,"Object counts, types, and structures.",metadata.notes,Summarize counts and types; useful for quick glance.,,Put in metadata.notes; also attach original FGDC XML as a file.
Horizontal Coordinate System Definition,spref.horizsys,horizsys,"Map projection, grid, or geographic coordinate system details.",metadata.notes,Include projection name and key parameters; include EPSG code if derivable; consider attaching .prj or WKT.,,Put in metadata.notes; also attach original FGDC XML as a file.
Geodetic Model,spref.horizsys.geodetic,geodetic,Ellipsoid and datum parameters.,metadata.notes,"Summarize ellipsoid name, datum, semi-major axis, flattening.",,Put in metadata.notes; also attach original FGDC XML as a file.
Vertical Coordinate System,spref.vertdef,vertdef,Vertical datum/units.,metadata.notes,Summarize vertical datum and units.,,Put in metadata.notes; also attach original FGDC XML as a file.
Entity Type (table/feature class),eainfo.detailed.enttyp,enttyp,Name/definition/label of an entity type.,metadata.notes,Add under 'Data dictionary' with entity name and definition.,,Put in metadata.notes; also attach original FGDC XML as a file.
Attribute (label/definition),eainfo.detailed.attr.[attrlabl|attrdef|attrdefs],attrlabl/attrdef,"Attribute label, definition, and definition source.",metadata.notes,Include per-attribute bullets under 'Data dictionary'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Attribute Domain (enumerated/range/unit/codeset),eainfo.detailed.attr.attrdomv,attrdomv,Valid values for an attribute.,metadata.notes,Render enumerations as lists; ranges as min/max with units; codesets with name/source.,,Put in metadata.notes; also attach original FGDC XML as a file.
Attribute Measurement Frequency,eainfo.detailed.attr.attrmfrq,attrmfrq,How often attribute values are added.,metadata.notes,Append to the 'Data dictionary' section if present.,,Put in metadata.notes; also attach original FGDC XML as a file.
Entity & Attribute Overview/Detail citation,eainfo.overview.[eaover|eadetcit],eaover/eadetcit,Overview of E/A info and citation to detailed docs.,metadata.notes + metadata.related_identifiers[],Put overview in notes; link any cited documentation with relation 'isDocumentedBy'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Distributor (contact),distinfo.distrib.cntinfo,distrib,Distributor contact.,metadata.contributors[] (type='Distributor'),Map to a contributor entry.,,Put in metadata.notes; also attach original FGDC XML as a file.
Distribution Liability,distinfo.distliab,distliab,Liability statement from distributor.,metadata.notes,Append under 'Distribution liability'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Standard Order Process: Non-digital Form,distinfo.stdorder.nondig,nondig,How to obtain non-digital form.,metadata.notes,Append under 'Ordering'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Digital Transfer Information: Format Name/Version/Spec,distinfo.stdorder.digform.digtinfo.[formname|formvern|formver|formspec|formcont|filedec|transize],digtinfo,"Format, version, spec, content, decompression, size.",metadata.notes,Summarize as 'Distribution format(s)'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Digital Transfer Option: Online (URL),distinfo.stdorder.digform.digtopt.onlinopt.computer.networka.networkr,networkr,Direct online resource URL/name.,metadata.related_identifiers[] (relation='isSupplementedBy' or 'isAlternateIdentifier'),Choose relation contextually; default to 'isSupplementedBy' for mirrors/secondary hosting.,,Put in metadata.notes; also attach original FGDC XML as a file.
Digital Transfer Option: Offline media,distinfo.stdorder.digform.digtopt.offoptn,offoptn,Media and recording details.,metadata.notes,Include under 'Offline distribution'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Fees,distinfo.stdorder.fees,fees,Costs associated with obtaining the data.,metadata.access_conditions,Only used if access_right='restricted'. Else include in notes.,,Put in metadata.notes; also attach original FGDC XML as a file.
Ordering Instructions,distinfo.stdorder.ordinst,ordinst,How to order.,metadata.notes,Append under 'Ordering'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Turnaround,distinfo.stdorder.turnaround,turnaround,Expected delivery delay.,metadata.notes,Append under 'Ordering'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Metadata Date,metainfo.metd,metd,Date the metadata record was created/updated.,metadata.notes,Append under 'FGDC metadata: date'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Metadata Contact,metainfo.metc.cntinfo,metc,Contact person/organization for the metadata itself.,metadata.notes,Append under 'FGDC metadata: contact'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Metadata Standard Name/Version,metainfo.[metstdn|metstdv],metstdn/metstdv,Which metadata standard the FGDC record follows.,metadata.notes,Append under 'FGDC metadata: standard'.,,Put in metadata.notes; also attach original FGDC XML as a file.
Metadata Access/Use Constraints,metainfo.[metac|metuc],metac/metuc,Restrictions on the metadata record itself.,metadata.notes,Keep separate from dataset access/use constraints.,,Put in metadata.notes; also attach original FGDC XML as a file.
