FGDC_ID,Title,Publication Date
FGDC-1767,AVHRR Sea Surface Temperature (SST) Pathfinder 9 km Weekly Composites from the U.S. GLOBEC NE Pacific Program,2004-01-08
FGDC-1768,SeaWiFS Sea-Surface Chlorophyll Concentration Images and Data for the California Current System by University of Maine,2004-01-09
FGDC-1769,SeaWiFS Sea-Surface Chlorophyll Concentration Images and Data for the Gulf of Alaska by University of Maine,2004-01-09
FGDC-177,1999 Korean Bering Sea Echo-integration Midwater Trawl Survey,2025-01-01
FGDC-1770,SeaWiFS Data by NASA Goddard,2004-01-12
FGDC-1771,Nimbus-7 Coastal Zone Color Scanner (CZCS) Data,2004-01-12
FGDC-1772,Moderate Resolution Imaging Spectroradiometer (MODIS)-Aqua Data,2004-01-12
FGDC-1773,PM Line Hydrography Data of the Sea of Japan by Maizuru Marine Observatory,2001-01-01
FGDC-1774,PM Line Phytoplankton Data of the Sea of Japan by Maizuru Marine Observatory,2001-01-01
FGDC-1775,PM Line Zooplankton Data of the Sea of Japan by Maizuru Marine Observatory,2001-01-01
FGDC-1776,"Phytoplankton Data from the Gulf of Alaska, British Columbia and the Pacific Coast of the U.S.",2001-01-01
FGDC-1777,"No. 067 - Bristol Bay sockeye salmon (Oncorhynchus Nerka) age, weight and length statistic  1957 - 1977.      By Henry J. Yuen, Brian Bue and Charles P. Meacham.  December  1981  155  pp.",1972-01-01
FGDC-1778,Olympic Region Harmful Algal Bloom (ORHAB) Program Data,2001-01-01
FGDC-1779,Off-Tohoku Temperature Maps and Gridded Data,2001-01-01
FGDC-178,"91-03 Cohort Analysis of Pacific Herring in the Togiak District, Alaska,  1980-90.  Timothy T. Baker.  July 1991",1988-01-01
FGDC-1781,Oyashio Intensive Observation Line Off Cape Erimo (OICE),2001-01-01
FGDC-1782,Oceanographic Survey of the Sea of Japan and East China Sea,2001-01-01
FGDC-1783,Oceanographic Survey of the East-China Sea,2001-01-01
FGDC-1784,Oceanographic Survey of the Bering Sea,2001-01-01
FGDC-1785,Oceanographic Survey of the Southern Coastal Area of Korea,2001-01-01
FGDC-1786,Sea Surface Temperature (SST) Image Data Around the Korean Peninsula,2001-01-01
FGDC-1787,Oceanographic and Fisheries Time-Series Data by T/S Oshoro-Maru,2001-01-01
FGDC-1788,No. 073 - 1981  Bristol Bay sockeye salmon smolt studies.  Edited by Daniel C. Huttunen.  April  1982  63 pp.,1972-01-01
FGDC-1789,SIO Shore Station Data,2001-01-01
FGDC-179,1978-1988 Korean Bering Sea Commercial Groundfish Database,2025-01-01
FGDC-2043,Population Dynamics and Trophic Relationships of Marine Birds in the Gulf of Alaska and Southern Bering Sea,1220-03-01
FGDC-2515,1984 U.S. Sablefish Tagging Survey,1998-08-26
FGDC-2920,Population Dynamics and Trophic Relationships of Marine Birds in the Gulf of Alaska and Southern Bering Sea,1220-03-01
FGDC-3027,Population Dynamics and Trophic Relationships of Marine Birds in the Gulf of Alaska and Southern Bering Sea,1220-03-01
FGDC-3148,Population Dynamics and Trophic Relationships of Marine Birds in the Gulf of Alaska and Southern Bering Sea,1220-03-01
FGDC-3255,Population Dynamics and Trophic Relationships of Marine Birds in the Gulf of Alaska and Southern Bering Sea,1220-03-01
